State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound...6,90% CI Upper Bound...7,"Poverty Percent, All Ages",90% CI Lower Bound...9,90% CI Upper Bound...10,"Poverty Estimate, Age 0-17",90% CI Lower Bound...12,90% CI Upper Bound...13,"Poverty Percent, Age 0-17",90% CI Lower Bound...15,90% CI Upper Bound...16,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound...18,90% CI Upper Bound...19,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound...21,90% CI Upper Bound...22,Median Household Income,90% CI Lower Bound...24,90% CI Upper Bound...25,"Poverty Estimate, Age 0-4",90% CI Lower Bound...27,90% CI Upper Bound...28,"Poverty Percent, Age 0-4",90% CI Lower Bound...30,90% CI Upper Bound...31
34,023,NJ,Middlesex County,68514,61186,75842,8.5,7.5999999999999996,9.4000000000000004,19135,16035,22235,10.800000000000001,9,12.6,13987,11689,16285,10.800000000000001,9,12.6,92770,89480,96060,.,.,.,.,.,.
34,025,NJ,Monmouth County,37725,32434,43016,6.2000000000000002,5.2999999999999998,7.0999999999999996,8888,6601,11175,6.9000000000000004,5.0999999999999996,8.6999999999999993,6055,4324,7786,6.0999999999999996,4.2999999999999998,7.9000000000000004,102579,99864,105294,.,.,.,.,.,.
34,027,NJ,Morris County,25678,21729,29627,5.2999999999999998,4.5,6.0999999999999996,5512,4336,6688,5.4000000000000004,4.2000000000000002,6.5999999999999996,4109,3227,4991,5.2999999999999998,4.2000000000000002,6.4000000000000004,116328,111687,120969,.,.,.,.,.,.
34,029,NJ,Ocean County,53950,46047,61853,9,7.7000000000000002,10.300000000000001,20297,15910,24684,14,11,17,13140,9876,16404,12.9,9.6999999999999993,16.100000000000001,75627,72970,78284,.,.,.,.,.,.
34,031,NJ,Passaic County,65342,58776,71908,13.300000000000001,12,14.6,23953,20797,27109,20.399999999999999,17.699999999999999,23.100000000000001,15843,13506,18180,18.800000000000001,16,21.600000000000001,76039,74000,78078,.,.,.,.,.,.
34,033,NJ,Salem County,7000,5654,8346,11.4,9.1999999999999993,13.6,2190,1617,2763,16.800000000000001,12.4,21.199999999999999,1498,1039,1957,15.6,10.800000000000001,20.399999999999999,68146,65378,70914,.,.,.,.,.,.
34,035,NJ,Somerset County,17409,14096,20722,5.4000000000000004,4.4000000000000004,6.4000000000000004,4278,3211,5345,6.2000000000000002,4.7000000000000002,7.7000000000000002,2824,2002,3646,5.2999999999999998,3.7999999999999998,6.7999999999999998,112722,106177,119267,.,.,.,.,.,.
34,037,NJ,Sussex County,7180,5642,8718,5.2000000000000002,4.0999999999999996,6.2999999999999998,1647,1154,2140,6.0999999999999996,4.2999999999999998,7.9000000000000004,1129,749,1509,5.5,3.7000000000000002,7.2999999999999998,100281,96721,103841,.,.,.,.,.,.
34,039,NJ,Union County,50094,43186,57002,9.0999999999999996,7.7999999999999998,10.4,15203,12119,18287,11.9,9.5,14.300000000000001,10622,8187,13057,11.300000000000001,8.6999999999999993,13.9,79953,76494,83412,.,.,.,.,.,.
34,041,NJ,Warren County,7313,5741,8885,7.0999999999999996,5.5999999999999996,8.5999999999999996,1847,1283,2411,9.1999999999999993,6.4000000000000004,12,1311,880,1742,8.5,5.7000000000000002,11.300000000000001,83998,80354,87642,.,.,.,.,.,.
